# Average Runtimes (10000 Files)

File sizes = 1byte, 10000 files ---------------

test1

98872011 function calls (98869184 primitive calls) in 72.844 seconds

    Ordered by: cumulative time

       ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        10178    1.150    0.000   45.449    0.004 crypy_py.py:30(find_files)
      2861144    3.125    0.000   44.171    0.000 fnmatch.py:19(fnmatch)
      2861144    3.173    0.000   31.992    0.000 fnmatch.py:64(fnmatchcase)
      2801123    2.658    0.000   26.543    0.000 fnmatch.py:38(_compile_pattern)
      2801123    8.773    0.000   19.867    0.000 fnmatch.py:74(translate)
        10177    0.144    0.000   17.674    0.002 crypy_py.py:356(generate_file)
     12565038    5.867    0.000   10.684    0.000 re.py:252(escape)
        10177    0.029    0.000    9.720    0.001 crypy_py.py:17(delete_file)
        10177    9.692    0.001    9.692    0.001 {built-in method nt.remove}
      5722288    5.508    0.000    9.054    0.000 ntpath.py:44(normcase)
        20355    8.226    0.000    8.226    0.000 {built-in method nt.stat}
        10177    2.387    0.000    8.121    0.001 crypy_py.py:335(encrypt_file)
        10177    0.020    0.000    7.566    0.001 crypy_py.py:327(make_directory)
        10178    0.017    0.000    7.545    0.001 genericpath.py:16(exists)
        19935    4.601    0.000    4.601    0.000 {built-in method io.open}
      2801123    0.982    0.000    3.693    0.000 re.py:232(compile)
     12565038    3.361    0.000    3.361    0.000 {method 'translate' of 'str' objects}
     23927735    3.208    0.000    3.208    0.000 {built-in method builtins.isinstance}
      2801123    1.975    0.000    2.711    0.000 re.py:271(_compile)
      2861144    2.275    0.000    2.275    0.000 {method 'match' of 're.Pattern' objects}
       692036    0.570    0.000    1.255    0.000 random.py:256(choice)
        10177    0.362    0.000    1.094    0.000 crypy_py.py:358(<listcomp>)
      5752823    1.034    0.000    1.034    0.000 {built-in method nt.fspath}
      5742643    1.013    0.000    1.013    0.000 {method 'replace' of 'str' objects}
      5722288    0.790    0.000    0.790    0.000 {method 'lower' of 'str' objects}
        10177    0.022    0.000    0.741    0.000 crypy_py.py:353(text_generator)
        20354    0.085    0.000    0.728    0.000 {method 'join' of 'str' objects}
        10177    0.023    0.000    0.721    0.000 genericpath.py:48(getsize)
       376549    0.120    0.000    0.643    0.000 crypy_py.py:354(<genexpr>)
       692036    0.416    0.000    0.623    0.000 random.py:224(_randbelow)
    3539892/3539044    0.479    0.000    0.479    0.000 {built-in method builtins.len}
         9968    0.182    0.000    0.182    0.000 {method 'read' of '_io.BufferedReader' objects}
        10177    0.020    0.000    0.144    0.000 AES.py:61(new)
        10177    0.020    0.000    0.124    0.000 AES.py:55(__init__)
       714193    0.117    0.000    0.117    0.000 {method 'getrandbits' of '_random.Random' objects}
        10177    0.040    0.000    0.104    0.000 blockalgo.py:136(__init__)
        10177    0.046    0.000    0.102    0.000 ntpath.py:75(join)
       692036    0.090    0.000    0.090    0.000 {method 'bit_length' of 'int' objects}
        20355    0.045    0.000    0.054    0.000 ntpath.py:122(splitdrive)
        10177    0.047    0.000    0.047    0.000 {built-in method nt.urandom}
        10177    0.044    0.000    0.044    0.000 {built-in method Crypto.Cipher._AES.new}
          283    0.001    0.000    0.028    0.000 sre_compile.py:759(compile)
            2    0.006    0.003    0.026    0.013 os.py:278(walk)
        10177    0.014    0.000    0.020    0.000 blockalgo.py:124(_getParameter)
         9967    0.019    0.000    0.019    0.000 {built-in method _struct.pack}
        10005    0.018    0.000    0.018    0.000 {built-in method builtins.next}
        19935    0.018    0.000    0.018    0.000 {method 'write' of '_io.BufferedWriter' objects}


      test 2

test2

98872109 function calls (98869282 primitive calls) in 79.272 seconds

    Ordered by: cumulative time

    ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10178    1.224    0.000   55.974    0.005 crypy_py.py:30(find_files)
    2861144    3.761    0.000   54.615    0.000 fnmatch.py:19(fnmatch)
    2861144    3.294    0.000   37.874    0.000 fnmatch.py:64(fnmatchcase)
    2801123    3.265    0.000   32.320    0.000 fnmatch.py:38(_compile_pattern)
    2801123    9.199    0.000   23.901    0.000 fnmatch.py:74(translate)
    10177    0.135    0.000   16.503    0.002 crypy_py.py:356(generate_file)
    12565038    8.001    0.000   14.161    0.000 re.py:252(escape)
    5722288    7.535    0.000   12.980    0.000 ntpath.py:44(normcase)
    10177    2.294    0.000    7.727    0.001 crypy_py.py:335(encrypt_file)
    20355    7.150    0.000    7.150    0.000 {built-in method nt.stat}
    10177    0.022    0.000    6.796    0.001 crypy_py.py:17(delete_file)
    10177    6.773    0.001    6.773    0.001 {built-in method nt.remove}
    10177    0.021    0.000    6.410    0.001 crypy_py.py:327(make_directory)
    10178    0.018    0.000    6.385    0.001 genericpath.py:16(exists)
    23927735    4.715    0.000    4.715    0.000 {built-in method builtins.isinstance}
    2801123    1.649    0.000    4.541    0.000 re.py:232(compile)
    19935    4.263    0.000    4.263    0.000 {built-in method io.open}
    12565038    4.090    0.000    4.090    0.000 {method 'translate' of 'str' objects}
    2801123    2.037    0.000    2.892    0.000 re.py:271(_compile)
    2861144    2.261    0.000    2.261    0.000 {method 'match' of 're.Pattern' objects}
    5742643    1.886    0.000    1.886    0.000 {method 'replace' of 'str' objects}
    692036    0.555    0.000    1.584    0.000 random.py:256(choice)
    10177    0.022    0.000    1.356    0.000 crypy_py.py:353(text_generator)
    20354    0.097    0.000    1.343    0.000 {method 'join' of 'str' objects}
    376549    0.363    0.000    1.246    0.000 crypy_py.py:354(<genexpr>)
    5722288    1.212    0.000    1.212    0.000 {method 'lower' of 'str' objects}
    5752823    1.135    0.000    1.135    0.000 {built-in method nt.fspath}
    692036    0.671    0.000    0.931    0.000 random.py:224(_randbelow)
    10177    0.166    0.000    0.866    0.000 crypy_py.py:358(<listcomp>)
    10177    0.018    0.000    0.802    0.000 genericpath.py:48(getsize)
    3539892/3539044    0.653    0.000    0.654    0.000 {built-in method builtins.len}
    9968    0.144    0.000    0.144    0.000 {method 'read' of '_io.BufferedReader' objects}
    714291    0.142    0.000    0.142    0.000 {method 'getrandbits' of '_random.Random' objects}
    10177    0.022    0.000    0.141    0.000 AES.py:61(new)
    10177    0.025    0.000    0.119    0.000 AES.py:55(__init__)
    692036    0.118    0.000    0.118    0.000 {method 'bit_length' of 'int' objects}
    10177    0.050    0.000    0.110    0.000 ntpath.py:75(join)
    10177    0.038    0.000    0.094    0.000 blockalgo.py:136(__init__)
    20355    0.046    0.000    0.058    0.000 ntpath.py:122(splitdrive)
    283    0.001    0.000    0.048    0.000 sre_compile.py:759(compile)
    10177    0.038    0.000    0.038    0.000 {built-in method nt.urandom}
    10177    0.035    0.000    0.035    0.000 {built-in method Crypto.Cipher._AES.new}
    283    0.000    0.000    0.025    0.000 sre_parse.py:919(parse)
    2    0.004    0.002    0.024    0.012 os.py:278(walk)
    566/283    0.002    0.000    0.023    0.000 sre_parse.py:417(_parse_sub)
    283    0.001    0.000    0.022    0.000 sre_compile.py:598(_code)
    566/283    0.008    0.000    0.022    0.000 sre_parse.py:475(_parse)
    10177    0.015    0.000    0.021    0.000 blockalgo.py:124(_getParameter)
    19935    0.020    0.000    0.020    0.000 {method 'write' of '_io.BufferedWriter' objects}

test3

98872224 function calls (98869397 primitive calls) in 52.700 seconds

    Ordered by: cumulative time

    ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    10178    0.948    0.000   42.479    0.004 crypy_py.py:30(find_files)
    2861144    2.815    0.000   41.414    0.000 fnmatch.py:19(fnmatch)
    2861144    2.566    0.000   29.485    0.000 fnmatch.py:64(fnmatchcase)
    2801123    2.642    0.000   25.382    0.000 fnmatch.py:38(_compile_pattern)
    2801123    7.548    0.000   18.903    0.000 fnmatch.py:74(translate)
    12565038    6.139    0.000   10.977    0.000 re.py:252(escape)
    5722288    5.393    0.000    9.115    0.000 ntpath.py:44(normcase)
    10177    0.123    0.000    8.409    0.001 crypy_py.py:356(generate_file)
    10177    1.694    0.000    5.853    0.001 crypy_py.py:335(encrypt_file)
    23927735    3.433    0.000    3.433    0.000 {built-in method builtins.isinstance}
    2801123    1.053    0.000    3.417    0.000 re.py:232(compile)
    12565038    3.320    0.000    3.320    0.000 {method 'translate' of 'str' objects}
    19935    3.243    0.000    3.243    0.000 {built-in method io.open}
    2801123    1.655    0.000    2.364    0.000 re.py:271(_compile)
    10177    0.019    0.000    1.812    0.000 crypy_py.py:17(delete_file)
    10177    1.794    0.000    1.794    0.000 {built-in method nt.remove}
    2861144    1.537    0.000    1.537    0.000 {method 'match' of 're.Pattern' objects}
    20355    1.480    0.000    1.480    0.000 {built-in method nt.stat}
    692036    0.414    0.000    1.122    0.000 random.py:256(choice)
    5742643    1.112    0.000    1.112    0.000 {method 'replace' of 'str' objects}
    10177    0.015    0.000    0.925    0.000 crypy_py.py:327(make_directory)
    10178    0.011    0.000    0.910    0.000 genericpath.py:16(exists)
    5752823    0.905    0.000    0.905    0.000 {built-in method nt.fspath}
    5722288    0.891    0.000    0.891    0.000 {method 'lower' of 'str' objects}
    10177    0.019    0.000    0.810    0.000 crypy_py.py:353(text_generator)
    20354    0.085    0.000    0.799    0.000 {method 'join' of 'str' objects}
    376549    0.138    0.000    0.714    0.000 crypy_py.py:354(<genexpr>)
    10177    0.144    0.000    0.690    0.000 crypy_py.py:358(<listcomp>)
    692036    0.412    0.000    0.622    0.000 random.py:224(_randbelow)
